"TOA5","CR5000_2","CR5000","2447","CR5000.Std.07","CPU:Parcela3_final.CR5","8647","Table1"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","Strikes_Tot","Dist_km_Avg","WS_ms_Avg","WindDir","MaxWS_ms_Avg","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","ETos","Rso","RH","RHT_C","TiltNS_deg_Avg","TiltWE_deg_Avg","SlrTF_MJ_Tot","CVMeta","Invalid_Wind","TT_C_Avg","SBT_C_Avg","SHF_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","Temp_TC1_C_Avg","Temp_TC2_C_Avg","SWC_5CM_Avg","SWC_40CM_Avg"
"TS","RN","W/m^2","mm","count","kilometers","m/s","degrees","m/s","Deg C","mbar","mbar","Deg C","Deg C","%","Deg C","degrees","degrees","MJ/m^2","","","Deg C","Deg C","W/m^2","W/meter^2","W/m^2","Deg C","Deg C","m3/m3","m3/m3"
"","","Avg","Tot","Tot","Avg","Avg","Smp","Avg","Avg","Avg","Avg","ETsz","RSo","Smp","Smp","Avg","Avg","Tot","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-10-17 09:00:00",1173,333,0,0,0,0.455,197.1,1.55,17.3,11.81667,1015.514,0.212,2.51,55.8,22.2,-0.2,2.183,1.1988,"013CAMPBELLCLIM50535VUE-500004413",0,18.59,17.62,-5.799,924,924,15.52,15.51,0.372,0.494
"2025-10-17 10:00:00",1174,497.2,0,0,0,0.485,50.8,1.513,20.55,12.18333,1015.648,0.332,3.057,46.2,25.5,-0.117,2.25,1.7898,"013CAMPBELLCLIM50535VUE-500004413",0,24.59,22.57,-5.914,924,924,20.83,20.82,0.372,0.494
"2025-10-17 11:00:00",1175,651,0,0,0,0.527,181.6,1.583,23.35,11.76667,1015.514,0.452,3.406,35.9,27.6,-0.083,2.167,2.3436,"013CAMPBELLCLIM50535VUE-500004413",0,29.99,26.29,-5.402,918,918,25.4,25.4,0.371,0.494
"2025-10-17 12:00:00",1176,745,0,0,0,0.595,20.4,1.818,26.05,10.68333,1015.481,0.536,3.534,29.4,30.5,-0.017,2.233,2.682,"013CAMPBELLCLIM50535VUE-500004413",0,36.02,29.37,-4.317,905,905,29.12,29.13,0.371,0.494
"2025-10-17 13:00:00",1177,771.7,0,0,0,0.652,134.6,1.812,28.07,9.216666,1015.164,0.566,3.425,20.9,32.1,0.017,2.25,2.778,"013CAMPBELLCLIM50535VUE-500004413",0,39.15,31.73,-2.661,900,900,31.7,31.7,0.37,0.494
"2025-10-17 14:00:00",1178,754.3,0,0,0,0.808,135.5,2.932,29.05,7.5,1015.131,0.555,3.084,17.9,32.5,0.067,2.183,2.7156,"013CAMPBELLCLIM50535VUE-500004413",0,42.36,32.73,-0.281,890,890,33.32,33.32,0.37,0.494
"2025-10-17 15:00:00",1179,677,0,0,0,0.867,136.9,3.503,29.53,7.283333,1014.798,0.489,2.511,17.3,32.9,0.083,2.25,2.4372,"013CAMPBELLCLIM50535VUE-500004413",0,41.2,32.77,3.185,897,897,34.38,34.39,0.371,0.494
"2025-10-17 16:00:00",1180,545.2,0,0,0,0.845,126.7,2.875,29.98,6.666667,1014.564,0.382,1.783,15.9,33.1,0.067,2.267,1.9626,"013CAMPBELLCLIM50535VUE-500004413",0,39.14,32.79,7.022,904,904,34.95,34.95,0.371,0.494
"2025-10-17 17:00:00",1181,377.7,0,0,0,0.73,140.7,2.4,29.75,7.416667,1014.314,0.245,0.954,18.9,32.3,0.067,2.1,1.3596,"013CAMPBELLCLIM50535VUE-500004413",0,36,31.91,9.73,912,912,34.55,34.55,0.371,0.494
"2025-10-17 18:00:00",1182,147.3,0,0,0,0.613,108.9,2.1,28.9,8.6,1014.364,0.06,0.192,24.1,29.1,-0.017,2.15,0.5304,"013CAMPBELLCLIM50535VUE-500004413",0,29.79,30.01,10.66,912,912,32.47,32.47,0.371,0.494
