"TOA5","CR5000_2","CR5000","2447","CR5000.Std.07","CPU:Parcela3_final.CR5","8647","Table1"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","Strikes_Tot","Dist_km_Avg","WS_ms_Avg","WindDir","MaxWS_ms_Avg","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","ETos","Rso","RH","RHT_C","TiltNS_deg_Avg","TiltWE_deg_Avg","SlrTF_MJ_Tot","CVMeta","Invalid_Wind","TT_C_Avg","SBT_C_Avg","SHF_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","Temp_TC1_C_Avg","Temp_TC2_C_Avg","SWC_5CM_Avg","SWC_40CM_Avg"
"TS","RN","W/m^2","mm","count","kilometers","m/s","degrees","m/s","Deg C","mbar","mbar","Deg C","Deg C","%","Deg C","degrees","degrees","MJ/m^2","","","Deg C","Deg C","W/m^2","W/meter^2","W/m^2","Deg C","Deg C","m3/m3","m3/m3"
"","","Avg","Tot","Tot","Avg","Avg","Smp","Avg","Avg","Avg","Avg","ETsz","RSo","Smp","Smp","Avg","Avg","Tot","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-10-02 11:00:00",815,571.3,0,0,0,0.718,26.4,1.628,23.9,15.25,1015.181,0.405,3.135,47,28.2,0.017,2.15,2.0568,"013CAMPBELLCLIM50535VUE-500004413",0,30.75,26.05,-2.382,2008,2008,24.65,24.65,0.356,0.487
"2025-10-02 12:00:00",816,678.2,0,0,0,0.738,165.7,1.945,27.07,14.45,1014.664,0.5,3.269,37.1,31.4,0.15,2.183,2.4414,"013CAMPBELLCLIM50535VUE-500004413",0,37.7,30.27,-1.612,1995,1995,29.08,29.08,0.356,0.487
"2025-10-02 13:00:00",817,714.7,0,0,0,0.77,351.1,2.117,29.22,12.96667,1014.114,0.537,3.169,28.9,33.4,0.167,2.1,2.5728,"013CAMPBELLCLIM50535VUE-500004413",0,42.11,33.01,-0.275,1987,1987,32.36,32.35,0.356,0.487
"2025-10-02 14:00:00",818,620.8,0,0,0,0.807,111.2,2.045,31.17,12.11667,1013.514,0.481,2.83,27.6,34.6,0.117,2.117,2.235,"013CAMPBELLCLIM50535VUE-500004413",0,43.01,34.3,1.959,1990,1990,34.67,34.67,0.356,0.487
"2025-10-02 15:00:00",819,608.3,0,0,0,1.017,153.8,2.92,31.23,12.56667,1012.764,0.461,2.272,26.8,34.3,0.183,2.117,2.19,"013CAMPBELLCLIM50535VUE-500004413",0,43.27,34.17,5.119,1941,1941,35.84,35.84,0.356,0.487
"2025-10-02 16:00:00",820,496.5,0,0,0,1.212,162.2,4.017,30.83,13.11667,1012.581,0.377,1.557,32,33.1,0.133,2.083,1.7874,"013CAMPBELLCLIM50535VUE-500004413",0,40.57,33.28,8.4,1918,1918,35.91,35.91,0.356,0.487
"2025-10-02 17:00:00",821,337.3,0,0,0,1.148,151.1,3.402,29.83,13.13333,1012.748,0.247,0.77,31.2,31.8,0.033,2.067,1.2144,"013CAMPBELLCLIM50535VUE-500004413",0,35.74,31.59,11.07,1872,1872,34.74,34.74,0.357,0.487
"2025-10-02 18:00:00",822,142.5,0,0,0,0.995,156.8,3.297,28.15,11.86667,1013.098,0.084,0.103,29.8,28.3,0.083,2.117,0.513,"013CAMPBELLCLIM50535VUE-500004413",0,28.21,28.63,12.46,1809,1809,32.37,32.37,0.356,0.487
"2025-10-02 19:00:00",823,13,0,0,0,0.55,71.1,1.475,25.08,10.7,1013.431,-0.008,0,38.6,23.8,-0.017,2.217,0.0468,"013CAMPBELLCLIM50535VUE-500004413",0,20.7,24.18,12.44,1753,1753,27.85,27.85,0.358,0.487
"2025-10-02 20:00:00",824,0,0,0,0,0.243,69.2,0.57,21.42,11.8,1013.898,-0.029,0,50.2,20.2,-0.1,2.183,0,"013CAMPBELLCLIM50535VUE-500004413",0,16.95,19.83,11.47,1765,1765,23.38,23.38,0.358,0.487
