"fecha_hora","fecha","RECORD","Radiacion_global_Wm2","Precipitacion_mm","Rayos_conteo","Dist_km_Avg","Velocidad_viento_ms","Direccion_viento_grados","Rachas_ms","Temperatura_aire_C","VP_mbar_Avg","Presion_atmosferica_mbar","ETos","Rso","Humedad_relativa_porc","RHT_C","TiltNS_deg_Avg","TiltWE_deg_Avg","Radiacion_global_MJm2","CVMeta","Invalid_Wind","TT_C_Avg","Temperatura_superficie_C","Flujo_energia_suelo_Wm2","Radiacion_neta_Wm2","CNR_Wm2_Avg","Temperatura_termocupla1_C","Temperatura_termocupla2_C","Humedad_suelo_5cm_m3m3","Humedad_suelo_40cm_m3m3","archivo_origen"
2025-07-21 14:00:00,2025-07-21,"0",387,0,0,0,0.987,172.2,2.375,19.2,10.6,1017.748,0.15,1.763,46.1,21.9,0.325,2.1,0.9288,NA,0,24.54,21.84,-1.904,275.7,275.7,22.06,22.06,0.333,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 15:00:00,2025-07-21,"1",369,0,0,0,0.765,157,2.228,20.38,10.2,1017.331,0.211,1.294,39.8,23.6,0.2,2.217,1.3284,NA,0,25.57,23.82,-0.448,242.1,242.1,23.22,23.22,0.334,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 16:00:00,2025-07-21,"2",256.5,0,0,0,0.603,165.4,1.403,21.18,9.6,1017.364,0.131,0.72,39.7,23.4,0.167,2.167,0.9234,NA,0,24.05,24.16,1.345,117.2,117.2,24.2,24.2,0.335,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 17:00:00,2025-07-21,"3",136.2,0,0,0,0.538,332.9,1.462,20.72,9.716667,1017.381,0.044,0.14,41.2,21.4,0.183,2.2,0.4902,NA,0,20.39,22.19,2.989,23.6,23.6,23.45,23.45,0.335,0.477,"CR1000_Table2-23-7.dat"
2025-07-21 18:00:00,2025-07-21,"4",36,0,0,0,0.325,27.4,0.873,18.07,9.566667,1017.848,-0.012,0,57.9,16.7,0.2,2.217,0.1296,NA,0,13.83,18.02,4.129,-58.97,-58.97,20.58,20.59,0.335,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 19:00:00,2025-07-21,"5",0.167,0,0,0,0.18,160.4,0.407,12.35,10,1018.048,-0.027,0,77.9,10.9,0.217,2.217,6e-04,NA,0,7.807,10.91,4.53,-69.6,-69.6,15.56,15.56,0.334,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 20:00:00,2025-07-21,"6",0,0,0,0,0.268,113.4,0.718,10.27,9.85,1018.364,-0.024,0,78.7,9.6,0.083,2.317,0,NA,0,7.451,8.6,4.079,-56.11,-56.11,11.65,11.65,0.335,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 21:00:00,2025-07-21,"7",0,0,0,0,0.23,134.5,0.513,9.98,10.16667,1019.014,-0.025,0,83.5,9.6,0,2.25,0,NA,0,8.11,8.63,3.069,-38.33,-38.33,9.89,9.89,0.335,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 22:00:00,2025-07-21,"8",0,0,0,0,0.277,120.9,0.642,10.65,10.63333,1019.414,-0.025,0,84.1,10.2,0,2.35,0,NA,0,8.84,9.41,1.974,-37.58,-37.58,9.44,9.44,0.334,0.476,"CR1000_Table2-23-7.dat"
2025-07-21 23:00:00,2025-07-21,"9",0,0,0,0,0.26,307.2,0.537,10.2,10.81667,1019.248,-0.025,0,88.7,9.5,0.05,2.217,0,NA,0,8.04,9.2,1.044,-37.49,-37.49,9.21,9.21,0.334,0.476,"CR1000_Table2-23-7.dat"
2025-07-22,2025-07-22,"10",0,0,0,0,0.598,251.2,1.29,11.1,10.5,1019.031,-0.019,0,79.3,10.6,0.083,2.283,0,"013CAMPBELLCLIM50535VUE-500004413",0,9.08,10.25,0.294,-44.6,-44.6,9.08,9.08,0.334,0.476,"CR1000_Table2-23-7.dat"
2025-07-22 01:00:00,2025-07-22,"11",0,0,0,0,0.353,141.5,0.832,10.25,10.26667,1018.714,-0.023,0,87.9,9.3,0,2.217,0,"013CAMPBELLCLIM50535VUE-500004413",0,7.473,9.68,-0.343,-45.81,-45.81,9.14,9.14,0.334,0.476,"CR1000_Table2-23-7.dat"
