"TOA5","CR5000_2","CR5000","2447","CR5000.Std.07","CPU:Parcela3_final.CR5","8647","Table1"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","Strikes_Tot","Dist_km_Avg","WS_ms_Avg","WindDir","MaxWS_ms_Avg","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","ETos","Rso","RH","RHT_C","TiltNS_deg_Avg","TiltWE_deg_Avg","SlrTF_MJ_Tot","CVMeta","Invalid_Wind","TT_C_Avg","SBT_C_Avg","SHF_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","Temp_TC1_C_Avg","Temp_TC2_C_Avg","SWC_5CM_Avg","SWC_40CM_Avg"
"TS","RN","W/m^2","mm","count","kilometers","m/s","degrees","m/s","Deg C","mbar","mbar","Deg C","Deg C","%","Deg C","degrees","degrees","MJ/m^2","","","Deg C","Deg C","W/m^2","W/meter^2","W/m^2","Deg C","Deg C","m3/m3","m3/m3"
"","","Avg","Tot","Tot","Avg","Avg","Smp","Avg","Avg","Avg","Avg","ETsz","RSo","Smp","Smp","Avg","Avg","Tot","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-10-06 09:00:00",909,310.7,0,0,0,0.672,178.5,2.12,10.95,9.233334,1021.898,0.168,2.357,65.7,15.6,-0.217,2.217,1.1184,"013CAMPBELLCLIM50535VUE-500004413",0,12.27,11.24,-9.07,2125,2125,8.2,8.2,0.366,0.491
"2025-10-06 10:00:00",910,479.3,0,0,0,0.76,202.5,2.233,13.55,8.95,1021.448,0.276,2.926,54.7,18.2,-0.15,2.183,1.7256,"013CAMPBELLCLIM50535VUE-500004413",0,18.45,14.89,-9.11,2161,2161,13.44,13.44,0.366,0.492
"2025-10-06 11:00:00",911,618.8,0,0,0,0.843,199.3,2.238,15.53,8.95,1020.964,0.37,3.285,49.9,19.9,-0.167,2.217,2.2278,"013CAMPBELLCLIM50535VUE-500004413",0,23.27,18.05,-8.72,2183,2183,17.82,17.82,0.365,0.492
"2025-10-06 12:00:00",912,712.2,0,0,0,0.817,129.2,2.268,17.92,9,1020.198,0.446,3.405,41.7,22,-0.067,2.083,2.5638,"013CAMPBELLCLIM50535VUE-500004413",0,29.42,21.19,-7.934,2183,2183,21.11,21.11,0.365,0.491
"2025-10-06 13:00:00",913,749.2,0,0,0,0.912,327.6,2.435,20.02,8.7,1019.598,0.487,3.288,35.4,23.6,-0.05,2.233,2.697,"013CAMPBELLCLIM50535VUE-500004413",0,33.61,23.72,-6.701,2173,2173,23.88,23.88,0.364,0.491
"2025-10-06 14:00:00",914,723.3,0,0,0,1.085,136.3,3.408,21.67,8.183333,1019.064,0.483,2.935,29.7,25,-0.033,2.15,2.604,"013CAMPBELLCLIM50535VUE-500004413",0,35.65,25.09,-4.786,2145,2145,25.67,25.67,0.364,0.491
"2025-10-06 15:00:00",915,660.2,0,0,0,1.178,151.3,3.642,23.08,6.7,1018.498,0.443,2.388,21.6,26.3,0.017,2.15,2.3766,"013CAMPBELLCLIM50535VUE-500004413",0,36.97,26.21,-1.563,2110,2110,27.27,27.27,0.365,0.491
"2025-10-06 16:00:00",916,534.3,0,0,0,1.075,174.4,3.065,23.28,6.383333,1017.964,0.352,1.661,23.5,26.5,-0.05,2.067,1.9236,"013CAMPBELLCLIM50535VUE-500004413",0,34.9,26.03,2.571,2058,2058,28.04,28.05,0.366,0.491
"2025-10-06 17:00:00",917,370.7,0,0,0,1.002,149.6,3.495,23.22,7.1,1017.514,0.234,0.839,23.7,25.8,-0.083,2.167,1.3344,"013CAMPBELLCLIM50535VUE-500004413",0,29.97,25.24,5.755,2014,2014,27.94,27.94,0.366,0.491
"2025-10-06 18:00:00",918,141.3,0,0,0,1,155.9,3.107,22.25,6.3,1017.531,0.072,0.124,25.1,22.3,-0.067,2.233,0.5088,"013CAMPBELLCLIM50535VUE-500004413",0,23.75,23.32,6.838,1997,1997,25.96,25.96,0.366,0.491
