"TOA5","CR5000_2","CR5000","2447","CR5000.Std.07","CPU:Parcela3_final.CR5","8647","Table1"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","Strikes_Tot","Dist_km_Avg","WS_ms_Avg","WindDir","MaxWS_ms_Avg","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","ETos","Rso","RH","RHT_C","TiltNS_deg_Avg","TiltWE_deg_Avg","SlrTF_MJ_Tot","CVMeta","Invalid_Wind","TT_C_Avg","SBT_C_Avg","SHF_Avg","NR_Wm2_Avg","CNR_Wm2_Avg","Temp_TC1_C_Avg","Temp_TC2_C_Avg","SWC_5CM_Avg","SWC_40CM_Avg"
"TS","RN","W/m^2","mm","count","kilometers","m/s","degrees","m/s","Deg C","mbar","mbar","Deg C","Deg C","%","Deg C","degrees","degrees","MJ/m^2","","","Deg C","Deg C","W/m^2","W/meter^2","W/m^2","Deg C","Deg C","m3/m3","m3/m3"
"","","Avg","Tot","Tot","Avg","Avg","Smp","Avg","Avg","Avg","Avg","ETsz","RSo","Smp","Smp","Avg","Avg","Tot","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2025-11-17 09:00:00",1917,415.5,0,0,0,0.567,172.5,1.393,21.63,13.6,1015.881,0.287,2.779,49.6,27.3,-0.25,2.217,1.4958,"013CAMPBELLCLIM50535VUE-500004413",0,22.76,22.86,-4.711,145.6,145.6,21.18,21.17,0.399,0.499
"2025-11-17 10:00:00",1918,580.7,0,0,0,0.498,102.5,1.477,24.42,13.85,1015.698,0.413,3.315,44,29.7,-0.217,2.25,2.0904,"013CAMPBELLCLIM50535VUE-500004413",0,26.27,26.76,-4.397,147.5,147.5,25.61,25.61,0.397,0.499
"2025-11-17 11:00:00",1919,723.7,0,0,0,0.597,95.5,1.865,26.75,13.75,1014.981,0.531,3.655,35.4,31.3,-0.033,2.25,2.6052,"013CAMPBELLCLIM50535VUE-500004413",0,29.9,29.95,-3.519,143.9,143.9,29.61,29.61,0.395,0.499
"2025-11-17 12:00:00",1920,772,0,0,0,0.662,163.9,2.172,28.87,12.1,1014.364,0.584,3.788,28.2,32.8,0.05,2.333,2.7792,"013CAMPBELLCLIM50535VUE-500004413",0,33.23,32.51,-2.157,135.7,135.7,32.68,32.68,0.394,0.499
"2025-11-17 13:00:00",1921,850,0,0,0,0.79,138.4,2.543,30.7,10.33333,1013.614,0.651,3.691,20.1,34.6,0.083,2.25,3.0594,"013CAMPBELLCLIM50535VUE-500004413",0,36.73,34.65,-0.312,110.8,110.8,34.77,34.77,0.392,0.499
"2025-11-17 14:00:00",1922,760.8,0,0,0,0.76,175,2.397,31.9,9.566667,1012.964,0.588,3.352,21.5,35.8,0.033,2.217,2.739,"013CAMPBELLCLIM50535VUE-500004413",0,38.06,35.38,1.903,93.3,93.3,36.77,36.77,0.39,0.499
"2025-11-17 15:00:00",1923,602.8,0,0,0,1.012,136.6,3.182,31.35,9.966666,1012.598,0.479,2.792,22.1,34.7,0.033,2.117,2.1702,"013CAMPBELLCLIM50535VUE-500004413",0,36.16,33.98,4.376,91.9,91.9,36.84,36.84,0.389,0.499
"2025-11-17 16:00:00",1924,363,0,0,0,0.85,132.1,2.793,30.55,9.983334,1012.314,0.298,2.082,24.5,33,0.133,2.15,1.3068,"013CAMPBELLCLIM50535VUE-500004413",0,32.96,32.49,6.421,94.2,94.2,35.84,35.84,0.388,0.499
"2025-11-17 17:00:00",1925,384.3,0,0,0,0.853,144.4,2.748,30.63,10.6,1012.114,0.267,1.276,25.5,33.4,-0.017,2.233,1.3836,"013CAMPBELLCLIM50535VUE-500004413",0,33.45,32.61,7.484,97.9,97.9,34.93,34.94,0.387,0.499
